ID	label	TYPE	parent class	description	definition source	comment	biolink equivalent	confirmed exact synonym	literature mining synonyms	madin synonym or field	synonym source	bacdive keyword synonym	bactotraits synonym
METPO:1002008	Nitrogen fixation	owl:Class	nitrogen compound respiration	A nitrogen compound respiration process that converts atmospheric nitrogen gas (N2) into ammonia or related nitrogenous compounds, making nitrogen available for biological use.	GO:0009399 (nitrogen fixation)|KEGG:00910 (Nitrogen metabolism)|MetaCyc:PWY-7888	Reasoning: Standard nitrogen fixation definition. Emphasizes N2 to ammonia conversion. Aligns with GO process. | Parent class ID: GO:0006091							
METPO:1003001	neutrophilic	owl:Class	pH growth preference	A pH growth preference characterized by optimal growth at near-neutral pH values, typically between pH 6.5 and 7.5.	PATO:0001842 (pH)|ENVO:01001854 (neutral pH environment)|MEO:0000174 (neutrophile)	Reasoning: Defines the neutral pH range preference. Distinguishes from acidophiles and alkaliphiles. | Parent class ID: PATO:0001842							
METPO:1000692	spindle shaped	owl:Class	cell shape	A cell shape characterized by a fusiform morphology that tapers at both ends, resembling a spindle with a wider central region.	PATO:0002267 (fusiform)|GO:0008360 (regulation of cell shape)|BTO:0000112 (bacterial cell)	Reasoning: Describes the characteristic tapered morphology. Distinct from cylindrical or spherical shapes. | Parent class ID: PATO:0000052							
METPO:1002036	Nitrite oxidation	owl:Class	nitrogen compound respiration	A nitrogen compound respiration process that oxidizes nitrite (NO2-) to nitrate (NO3-) to generate energy, typically performed by nitrite-oxidizing bacteria.	GO:0019329 (nitrite oxidation)|KEGG:00910 (Nitrogen metabolism)|CHEBI:16301 (nitrite)	Reasoning: Specifies nitrite to nitrate conversion. Key step in nitrification. Aligns with nitrogen cycle processes. | Parent class ID: GO:0006091							
METPO:1000638	chemolithoheterotrophic	owl:Class	trophic type	A trophic type characterized by the use of inorganic chemical compounds as electron donors for energy generation while utilizing organic compounds as the primary carbon source.	ENVO:00002152 (chemolithotrophic organism)|ENVO:00002035 (heterotrophic organism)|MEO:0000057 (chemolithoheterotroph)	Reasoning: Combines chemolithotrophic energy generation with heterotrophic carbon assimilation. Less common trophic strategy. | Parent class ID: GO:0006091							
METPO:1000682	spore shaped	owl:Class	cell shape	A cell shape characterized by a morphology associated with dormant, stress-resistant spore structures, typically spherical to oval with thick protective walls.	GO:0030435 (sporulation)|BTO:0001268 (spore)|PATO:0000052 (shape)	Reasoning: Describes spore morphology as a cell shape category. Associated with endospore formation. | Parent class ID: PATO:0000052							
METPO:1000186	material entity	owl:Class	independent continuant	An independent continuant that consists of matter, including objects, portions of substances, or mixtures of substances.	BFO:0000040 (material entity)|ENVO:00010483 (environmental material)|CHEBI:59999 (chemical substance)	Reasoning: Top-level BFO class definition. Uses provided definition emphasizing matter composition. | Parent class ID: BFO:0000004							
METPO:1000720	facultative psychrophilic	owl:Class	temperature preference	A temperature preference characterized by the ability to grow at low temperatures (typically below 20Â°C) while maintaining optimal growth at moderate temperatures.	ENVO:01000339 (cold environment)|PATO:0000146 (temperature)|MEO:0000195 (psychrophile)	Reasoning: Distinguishes from obligate psychrophiles by maintaining mesophilic growth capability. Facultative cold adaptation. | Parent class ID: PATO:0000146							
METPO:1000683	sphere shaped	owl:Class	cell shape	A cell shape characterized by a spherical or nearly spherical morphology with approximately equal dimensions in all directions.	PATO:0000947 (spherical)|GO:0009877 (coccus-type cell morphology)|BTO:0000112 (bacterial cell)	Reasoning: Standard coccus morphology description. Distinguishes from elongated or irregular shapes. | Parent class ID: PATO:0000052							
METPO:1000845	Acetogenesis	owl:Class	metabolic process	A metabolic process that produces acetate as the primary end product through the reduction of carbon dioxide or other carbon compounds using the Wood-Ljungdahl pathway, typically performed by acetogenic bacteria under anaerobic conditions.	GO:0015946 (acetate biosynthetic process)|KEGG:00720 (Carbon fixation pathways)|MetaCyc:PWY-5088	Reasoning: Specifies acetate production via CO2 reduction. Distinguishes from acetate fermentation. Aligns with acetogenic metabolism. | Parent class ID: GO:0008152							
METPO:1003008	acidotolerant	owl:Class	pH growth preference	A pH growth preference characterized by the ability to tolerate acidic environments (typically pH below 5.5) while maintaining optimal growth near neutral pH.	PATO:0001796 (acid tolerance)|ENVO:01000240 (acidic environment)|MEO:0000162 (acidophile)	Reasoning: Distinguishes acidotolerant from acidophilic by emphasizing tolerance without preference. Can survive but doesn't prefer acid. | Parent class ID: PATO:0001842							
METPO:1000679	pleomorphic shaped	owl:Class	cell shape	A cell shape characterized by variable and irregular morphology, where individual cells within a population exhibit multiple distinct shapes.	PATO:0001863 (morphology)|GO:0008360 (regulation of cell shape)|BTO:0000112 (bacterial cell)	Reasoning: Emphasizes morphological variability as the defining characteristic. Distinguishes from fixed morphologies. | Parent class ID: PATO:0000052							
METPO:1000676	helical shaped	owl:Class	cell shape	A cell shape characterized by a three-dimensional spiral or helical morphology, with regular coiling along the longitudinal axis.	PATO:0001795 (helical)|GO:0009877 (helical cell morphology)|BTO:0001276 (spirochete)	Reasoning: Describes helical/spiral geometry. Distinguishes from simple curved or straight shapes. Typical of spirochetes. | Parent class ID: PATO:0000052							
METPO:1000654	oligotrophic	owl:Class	nutrient adaptation	A nutrient adaptation characterized by the ability to thrive in environments with very low nutrient concentrations, typically possessing efficient nutrient uptake and utilization systems.	ENVO:01000253 (oligotrophic environment)|PATO:0001655 (nutrient concentration)|MEO:0000177 (oligotroph)	Reasoning: Emphasizes low-nutrient adaptation. Distinguishes from copiotrophic organisms. Common in aquatic microbiology. | Parent class ID: GO:0009267							
METPO:1003007	facultatively acidophilic	owl:Class	pH growth preference	A pH growth preference characterized by optimal growth in acidic environments (pH below 5.5) with the capacity to also grow at near-neutral pH values.	PATO:0001842 (pH)|ENVO:01000240 (acidic environment)|MEO:0000162 (acidophile)	Reasoning: Distinguishes from obligate acidophiles by retaining growth capability across broader pH range. Facultative acid preference. | Parent class ID: PATO:0001842							
METPO:1000304	temperature optimum (growth range)	owl:Class	phenotype	A phenotype defined by the specific temperature at which an organism exhibits its maximum growth rate within its viable temperature range.	PATO:0000146 (temperature)|ENVO:09200001 (temperature regime)|GO:0040007 (growth)	Reasoning: Uses provided definition emphasizing maximum growth rate. Relates to cardinal temperature concepts. | Parent class ID: PATO:0000001							
METPO:1003006	obligately acidophilic	owl:Class	pH growth preference	A pH growth preference characterized by the requirement for acidic environments (pH below 5.5) for growth, with inability to grow at neutral or alkaline pH values.	PATO:0001842 (pH)|ENVO:01000240 (acidic environment)|MEO:0000162 (acidophile)	Reasoning: Emphasizes obligate requirement for low pH. Distinguishes from facultative acidophiles by lack of neutral pH growth. | Parent class ID: PATO:0001842							
