ID	label	TYPE	parent class	description	definition source	comment	biolink equivalent	confirmed exact synonym	literature mining synonyms	madin synonym or field	synonym source	bacdive keyword synonym	bactotraits synonym
METPO:1000693	spirochete shaped	owl:Class	cell shape	A cell shape in which an organism has an elongated, tightly coiled helical morphology with periplasmic flagella (endoflagella) located between the cell wall and outer membrane, characteristic of bacteria in the phylum Spirochaetes.		Reasoning: Specific definition that distinguishes spirochete shape from general helical shapes by including the characteristic periplasmic flagella and taxonomic specificity.							
METPO:1000806	Disproportionation	owl:Class	metabolism	A metabolic process in which a single substrate simultaneously undergoes both oxidation and reduction reactions, with part of the substrate serving as the electron donor and another part serving as the electron acceptor.		Reasoning: Clear genus-differentia definition that distinguishes disproportionation from other metabolic processes by its unique characteristic of simultaneous oxidation and reduction of the same substrate.							
METPO:1000701	motility	owl:Class	phenotype	A phenotype in which an organism has the capability to move independently through its environment, typically by means of flagella, pili, gliding mechanisms, or other locomotory structures.		Reasoning: Defines motility as a phenotypic trait while specifying the various mechanisms that enable movement, distinguishing motile from non-motile organisms.							
METPO:1000632	autotrophic	owl:Class	trophic type	A trophic type in which an organism produces organic compounds from inorganic carbon sources (primarily carbon dioxide or bicarbonate) using energy from light (photoautotrophy) or from the oxidation of inorganic compounds (chemoautotrophy).		Reasoning: Comprehensive definition that identifies autotrophy by carbon source (inorganic carbon) and acknowledges the two main energy sources, distinguishing it from heterotrophic types.							
METPO:1002006	Syntrophy	owl:Class	metabolism	A metabolic process involving obligate cooperation between two or more microbial species in which the metabolism of one species is thermodynamically dependent on the removal of its products by another species.		Reasoning: Defines syntrophy as a metabolic process with the key distinguishing feature of obligate metabolic interdependence and thermodynamic coupling between species.							
METPO:1000805	Electron transfer	owl:Class	metabolism	A metabolic process in which electrons are transferred from an electron donor to an electron acceptor, either within a single organism or between different organisms, generating energy for cellular processes.		Intentionally broad definition as electron transfer is a foundational process underlying many specific metabolic pathways. | Reasoning: Follows genus-differentia form. However, electron transfer is fundamental to many metabolic processes, so this definition is intentionally broad to encompass various forms including cellular respiration and extracellular electron transfer.							
METPO:1000642	copiotrophic	owl:Class	nutrient adaptation	A nutrient adaptation in which an organism thrives in environments with high nutrient concentrations, typically exhibiting rapid growth rates and utilizing diverse carbon sources.		Reasoning: Clearly contrasts with oligotrophy by specifying adaptation to high nutrient environments and associated rapid growth characteristics.							
METPO:1001104	biosafety level 3	owl:Class	biosafety level	A biosafety level classification for organisms that can cause serious or potentially lethal disease through inhalation or other routes, requiring specialized containment facilities with controlled access, directional airflow, and strict safety protocols.		Reasoning: Defines BSL-3 by its risk characteristics (serious/lethal disease, inhalation transmission) and required safety measures, distinguishing it from BSL-2 (moderate risk) and BSL-4 (extreme risk).							
METPO:1002001	Fe(III)-dependent methane oxidation	owl:Class	Metal and metalloid respiration	A metal and metalloid respiration process in which methane is oxidized using ferric iron (Fe(III)) as the terminal electron acceptor, resulting in the reduction of Fe(III) to Fe(II) under anaerobic conditions.		Reasoning: Specific definition that identifies the parent class (metal and metalloid respiration) and distinguishes this process by its unique substrate (methane) and electron acceptor (Fe(III)).							
METPO:1000686	vibrio shaped	owl:Class	cell shape	A cell shape in which an organism has a curved rod or comma-like morphology, characterized by a short curved cylindrical form with a single arc.		Reasoning: Clearly distinguishes vibrio shape from other curved forms (like spirals) by specifying the comma-like form with a single curve rather than multiple turns.							
METPO:1000648	lithoheterotrophic	owl:Class	trophic type	A trophic type in which an organism obtains energy from the oxidation of inorganic compounds while using organic compounds as the primary carbon source for biosynthesis.		Reasoning: Clearly distinguishes lithoheterotrophy by its unique combination of inorganic energy source and organic carbon source, setting it apart from other trophic categories.							
METPO:1000801	Aerobic respiration	owl:Class	respiration	A respiration process in which molecular oxygen serves as the terminal electron acceptor in the electron transport chain, generating ATP through oxidative phosphorylation with water as the final product.		Reasoning: Clear genus-differentia definition that distinguishes aerobic respiration from other respiration types by specifying oxygen as the terminal electron acceptor and describing the key outcome (ATP generation via oxidative phosphorylation).							
METPO:1000628	extremely halophilic	owl:Class	halophily preference	A halophily preference in which an organism requires very high salt concentrations (typically 15-30% NaCl or higher) for optimal growth and cannot grow at salt concentrations below approximately 12%.		Reasoning: Clearly distinguishes extreme halophiles from moderate halophiles by specifying both the high salt requirement and inability to grow at lower concentrations.							
METPO:1000626	stenohaline	owl:Class	halophily preference	A halophily preference in which an organism can tolerate only a narrow range of salt concentrations and cannot adapt to significant changes in salinity.		Reasoning: Distinguishes stenohaline from euryhaline organisms by emphasizing the narrow salinity tolerance range and inability to adapt to varying salt concentrations.							
METPO:1000646	hydrogenotrophic	owl:Class	trophic type	A trophic type in which an organism utilizes molecular hydrogen (H₂) as the primary electron donor and energy source, typically with carbon dioxide as the carbon source.		Reasoning: Specifically defines hydrogenotrophy by the use of H₂ as electron donor, distinguishing it from other lithotrophic types by substrate specificity.							
METPO:1000658	photolithotrophic	owl:Class	trophic type	A trophic type in which an organism uses light as the energy source and oxidizes inorganic compounds as electron donors, with carbon dioxide as the primary carbon source for biosynthesis.		Reasoning: Clearly distinguishes photolithotrophy by the combination of light energy, inorganic electron donors, and inorganic carbon source, setting it apart from photoorganotrophy and chemolithotrophy.							
METPO:1000697	gram stain	owl:Class	phenotype	A phenotype determined by the differential staining response of bacterial cells to the Gram staining procedure, reflecting differences in cell wall structure and composition, with gram-positive cells retaining crystal violet dye and gram-negative cells appearing pink after counterstaining.		Reasoning: Defines gram stain as a phenotype while explaining the underlying basis (cell wall structure) and the observable outcome (staining pattern), following OBO principles.							
METPO:1000666	cell shape	owl:Class	phenotype	A phenotype that describes the characteristic three-dimensional morphological form of a microbial cell, determined by the cell wall structure, cytoskeletal elements, and environmental factors.		Reasoning: Defines cell shape as a high-level phenotypic category while indicating the structural determinants, appropriate for a parent class of specific shape terms.							
METPO:1000844	Methanogenesis	owl:Class	metabolism	A metabolic process in which methane is produced as the primary end product through the reduction of carbon-containing compounds such as carbon dioxide, formate, methanol, or acetate, exclusively performed by methanogenic archaea under strictly anaerobic conditions.		Reasoning: Clear definition distinguishing methanogenesis from other metabolic processes by its unique end product (methane), specific substrates, taxonomic restriction to archaea, and obligate anaerobic nature.							
METPO:1000673	ellipsoidal	owl:Class	cell shape	A cell shape in which an organism has an oval or ellipse-like morphology, elongated along one axis with rounded ends, intermediate between spherical and rod-shaped.		Reasoning: Provides clear geometric description that distinguishes ellipsoidal cells from both cocci (spherical) and bacilli (cylindrical rods) by its oval geometry.							
