ID	label	TYPE	parent class	description	definition source	comment	biolink equivalent	confirmed exact synonym	literature mining synonyms	madin synonym or field	synonym source	bacdive keyword synonym	bactotraits synonym
ID	LABEL	TYPE	SC %	A IAO:0000115	>A IAO:0000119	A rdfs:comment	AI skos:closeMatch	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	>AI IAO:0000119	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|
METPO:1000668	coccus shaped	owl:Class	cell shape	A cell shape in which an organism has a spherical or nearly spherical morphology, with roughly equal dimensions in all directions.	OLS:PATO:0001201|BioPortal:OMP:0000123|ISBN:9781555819675|DOI:10.1038/nrmicro.2016.172
METPO:1000693	spirochete shaped	owl:Class	cell shape	A cell shape in which an organism has an elongated, tightly coiled helical morphology with periplasmic flagella (endoflagella) located between the cell wall and outer membrane, characteristic of bacteria in the phylum Spirochaetes.	OLS:PATO:0001895|OLS:NCBITaxon:203691|BioPortal:OMP:0000129|DOI:10.1128/MMBR.00018-12	The presence of periplasmic flagella (endoflagella) is a defining characteristic that distinguishes spirochetes from other helical bacteria.
METPO:1000806	Disproportionation	owl:Class	metabolism	A metabolic process in which a single substrate simultaneously undergoes both oxidation and reduction reactions, with part of the substrate serving as the electron donor and another part serving as the electron acceptor.	OLS:GO:0009061|OLS:CHEBI:33260|PMID:28331159|ISBN:9780123851444
METPO:1000329	temperature optimum (metabolic activity)	owl:Class	biological process	A biological process phenotype that describes the specific temperature at which a microorganism exhibits maximum metabolic activity and enzyme function within its viable range.	OLS:GO:0008152|OLS:PATO:0000146|BioPortal:OMP:0000790|ISBN:9781555819675	Refined from existing definition. Distinct from growth rate optimum as metabolic activity can peak at different temperatures than growth.
METPO:1000701	motility	owl:Class	phenotype	A phenotype in which an organism has the capability to move independently through its environment, typically by means of flagella, pili, gliding mechanisms, or other locomotory structures.	OLS:GO:0040011|OLS:PATO:0000708|BioPortal:OMP:0000567|DOI:10.1146/annurev-micro-091213-112953
METPO:1000632	autotrophic	owl:Class	trophic type	A trophic type in which an organism produces organic compounds from inorganic carbon sources (primarily carbon dioxide or bicarbonate) using energy from light (photoautotrophy) or from the oxidation of inorganic compounds (chemoautotrophy).	OLS:GO:0006730|OLS:CHEBI:16526|BioPortal:ENVO:01000447|DOI:10.1146/annurev-micro-090816-093913
METPO:1002006	Syntrophy	owl:Class	metabolism	A metabolic process involving obligate cooperation between two or more microbial species in which the metabolism of one species is thermodynamically dependent on the removal of its products by another species.	OLS:GO:0044403|BioPortal:ENVO:01000567|PMID:27841757|DOI:10.1146/annurev.micro.61.080706.093048
METPO:1000805	Electron transfer	owl:Class	metabolism	A metabolic process in which electrons are transferred from an electron donor to an electron acceptor, either within a single organism or between different organisms, generating energy for cellular processes.	OLS:GO:0022900|OLS:CHEBI:10545|PMID:24407446|DOI:10.1128/MMBR.00002-12	Intentionally broad definition as electron transfer is a foundational process underlying many specific metabolic pathways including respiration, photosynthesis, and extracellular electron transfer.
METPO:1000642	copiotrophic	owl:Class	nutrient adaptation	A nutrient adaptation in which an organism thrives in environments with high nutrient concentrations, typically exhibiting rapid growth rates and utilizing diverse carbon sources.	OLS:ENVO:01000173|BioPortal:OMP:0000457|PMID:25148477|DOI:10.1111/1758-2229.12172
METPO:1001104	biosafety level 3	owl:Class	biosafety level	A biosafety level classification for organisms that can cause serious or potentially lethal disease through inhalation or other routes, requiring specialized containment facilities with controlled access, directional airflow, and strict safety protocols.	CDC Biosafety Manual|WHO Laboratory Biosafety Manual|DOI:10.1128/9781555817978
METPO:1002001	Fe(III)-dependent methane oxidation	owl:Class	Metal and metalloid respiration	A metal and metalloid respiration process in which methane is oxidized using ferric iron (Fe(III)) as the terminal electron acceptor, resulting in the reduction of Fe(III) to Fe(II) under anaerobic conditions.	OLS:GO:0019645|OLS:CHEBI:29034|OLS:CHEBI:16183|PMID:16820507|DOI:10.1038/nature04730
METPO:1000686	vibrio shaped	owl:Class	cell shape	A cell shape in which an organism has a curved rod or comma-like morphology, characterized by a short curved cylindrical form with a single arc.	OLS:PATO:0001933|BioPortal:OMP:0000125|ISBN:9781555819675|DOI:10.1111/mmi.13585
METPO:1000648	lithoheterotrophic	owl:Class	trophic type	A trophic type in which an organism obtains energy from the oxidation of inorganic compounds while using organic compounds as the primary carbon source for biosynthesis.	OLS:GO:0042821|BioPortal:ENVO:01000450|PMID:16933922|DOI:10.1128/MMBR.00008-10
METPO:1000801	Aerobic respiration	owl:Class	respiration	A respiration process in which molecular oxygen serves as the terminal electron acceptor in the electron transport chain, generating ATP through oxidative phosphorylation with water as the final product.	OLS:GO:0009060|OLS:CHEBI:15379|ISBN:9780815344322|DOI:10.1128/MMBR.00001-13
METPO:1000628	extremely halophilic	owl:Class	halophily preference	A halophily preference in which an organism requires very high salt concentrations (typically 15-30% NaCl or higher) for optimal growth and cannot grow at salt concentrations below approximately 12%.	OLS:ENVO:01000325|BioPortal:OMP:0001037|PMID:22092493|DOI:10.1128/MMBR.00010-08
METPO:1000626	stenohaline	owl:Class	halophily preference	A halophily preference in which an organism can tolerate only a narrow range of salt concentrations and cannot adapt to significant changes in salinity.	OLS:ENVO:01000326|BioPortal:OMP:0001038|ISBN:9783642203084
METPO:1000646	hydrogenotrophic	owl:Class	trophic type	A trophic type in which an organism utilizes molecular hydrogen (Hâ‚‚) as the primary electron donor and energy source, typically with carbon dioxide as the carbon source.	OLS:GO:0019645|OLS:CHEBI:18276|BioPortal:ENVO:01000451|DOI:10.1038/nrmicro.2016.79
METPO:1000658	photolithotrophic	owl:Class	trophic type	A trophic type in which an organism uses light as the energy source and oxidizes inorganic compounds as electron donors, with carbon dioxide as the primary carbon source for biosynthesis.	OLS:GO:0009773|BioPortal:ENVO:01000449|PMID:23580231|DOI:10.1146/annurev-micro-090816-093913
METPO:1000697	gram stain	owl:Class	phenotype	A phenotype determined by the differential staining response of bacterial cells to the Gram staining procedure, reflecting differences in cell wall structure and composition, with gram-positive cells retaining crystal violet dye and gram-negative cells appearing pink after counterstaining.	OLS:PATO:0002231|BioPortal:OMP:0000678|ISBN:9781555819675|DOI:10.1128/MMBR.00019-12
METPO:1000333	NaCl optimum	owl:Class	phenotype	A phenotype that describes the specific concentration of sodium chloride at which a microorganism exhibits maximum growth rate and metabolic efficiency.	OLS:PATO:0000033|OLS:CHEBI:26710|BioPortal:OMP:0000791|ISBN:9781555819675	Refined from existing definition. Related to halophily preferences but specifically defines the optimal concentration point.
METPO:1000666	cell shape	owl:Class	phenotype	A phenotype that describes the characteristic three-dimensional morphological form of a microbial cell, determined by the cell wall structure, cytoskeletal elements, and environmental factors.	OLS:GO:0008360|OLS:PATO:0000052|BioPortal:OMP:0000120|DOI:10.1038/nrmicro.2016.172
METPO:1000844	Methanogenesis	owl:Class	metabolism	A metabolic process in which methane is produced as the primary end product through the reduction of carbon-containing compounds such as carbon dioxide, formate, methanol, or acetate, exclusively performed by methanogenic archaea under strictly anaerobic conditions.	OLS:GO:0015948|OLS:CHEBI:16183|OLS:NCBITaxon:2172|BioPortal:ENVO:01000114|DOI:10.1038/nrmicro.2016.79	Synonyms like 'carbonate respiration' emphasize the CO2 reduction pathway. The taxonomic restriction to archaea is critical as it distinguishes true methanogenesis from methane production by other means.
METPO:1000673	ellipsoidal	owl:Class	cell shape	A cell shape in which an organism has an oval or ellipse-like morphology, elongated along one axis with rounded ends, intermediate between spherical and rod-shaped.	OLS:PATO:0002318|BioPortal:OMP:0000126|ISBN:9781555819675|DOI:10.1016/j.mib.2015.03.005
